Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-11-15;0;963,9;14,3;35,3;27,8;22,2;46,4;24;9,7;1,8;
2012-11-16;0;963,9;12,5;37,1;28,5;22,1;42,8;15;11;1,5;
2012-11-17;0;965,2;10,1;36,6;28;20,2;38,1;11;9,6;1,6;
2012-11-18;0;965,5;13,5;36,8;28,3;21,8;43,1;18;7,8;1,4;
2012-11-19;0;965,1;13,4;36,9;29,9;24,1;39,5;18;9,5;1,7;
2012-11-20;0;963,9;12,7;37,2;30,4;24,9;36,2;17;9,3;2;
2012-11-21;0;964,3;13,7;36;29,2;24,3;41,9;21;7,3;2;
2012-11-22;0;964,3;14,4;36,7;28,8;23,6;44,8;21;6,5;1,5;
2012-11-23;0;963,9;15,3;35,7;29,1;22,8;45,3;25;7,3;1,4;
2012-11-24;0;963,8;16,9;35,6;29,3;25;49,2;28;8,4;1,8;
2012-11-25;0;964,5;15,3;35,2;28,5;23,8;47,7;25;8,8;1,8;
2012-11-26;0;964,6;14,4;36,1;28,9;23,3;44,8;22;8;2;
2012-11-27;0;964;14;35,7;29,4;24,3;42,4;23;8,9;2;
2012-11-28;0;963,1;14,2;34,6;29,2;23,8;42,3;26;8,8;1,8;
2012-11-29;0;963,5;16,4;33,1;28,6;25;48,8;32;8,1;1,7;
2012-11-30;22,6;963,7;18,8;33,1;27;21,5;63,5;34;9,8;1,3;
2012-12-01;7;964,3;18,4;33,8;27;21,2;63,3;30;7;1,4;
2012-12-02;3;964;18,3;34;27,4;21,5;61,3;28;7,4;1,4;
2012-12-03;3,4;964,6;18,1;34,5;27,6;22,8;59,8;30;9,7;1,7;
2012-12-04;,6;965,6;17,3;34,5;27,9;23,4;55,2;30;6,7;1,5;
2012-12-05;,2;965,4;19,4;31,5;25,4;20,9;72,4;38;6,2;1,3;
2012-12-06;1,2;963,5;18,1;33,7;26,7;21,3;63,5;29;9,7;1,3;
2012-12-07;,2;963,8;17,3;34,8;27,7;21,9;57,6;25;6,3;1,4;
2012-12-08;2,2;964,9;18;35,1;28,3;24,1;56,3;28;5,5;1,3;
2012-12-09;0;965,1;18,5;33,8;28,1;23,9;57,4;34;7,2;1,4;
2012-12-10;,2;964,3;19,2;31,1;26,9;24,5;63,6;45;7,8;1,2;
2012-12-11;4,6;963,3;16,9;34,3;27,4;22,8;55,4;28;6,1;1,2;
2012-12-12;0;963,2;17,2;34,4;27,4;22,3;56,4;30;6,2;1,1;
2012-12-13;0;962,9;16,9;35,4;27,2;21,8;56,9;26;8,6;,9;
2012-12-14;0;962,8;15,9;36,1;28,1;22,8;52;21;7,5;1,3;
2012-12-15;0;962,9;14,2;35,6;27,8;22,3;47,1;19;7,5;1,5;
2012-12-16;0;963,2;16,7;35,4;28,4;23,8;50,9;28;7;1,4;
2012-12-17;0;964;17;35,3;28,6;23,9;52;28;8;1,3;
2012-12-18;0;963,4;17,9;35,3;27,9;21,7;57,6;28;7,9;1,1;
2012-12-19;0;963,1;17,5;35,3;28,7;24,4;53;27;6,6;1,6;
2012-12-20;0;962,7;16,9;35,4;28,4;23,7;52,4;27;7,8;1,6;
2012-12-21;0;963,5;15,2;36;29,1;23,8;45,8;21;6;1,3;
2012-12-22;0;963,8;16,6;36;28,6;23,9;50,8;26;9,1;1,3;
2012-12-23;,6;963,9;17,9;35,9;28,4;22,8;56,7;25;9;1,5;
2012-12-24;2,8;964,6;19,4;33,1;26,8;22,4;66,3;34;5,5;1,2;
2012-12-25;0;964,6;15,4;34,7;27,9;22,1;50;24;7,3;1,4;
2012-12-26;0;965,3;15,8;35,2;28,9;23;47;27;5,8;1,3;
2012-12-27;0;964;15,6;36,1;29,5;24,9;46,6;20;7,4;1,6;
2012-12-28;0;963,6;15,1;36,4;29,3;23,8;45,5;20;8,6;1,6;
2012-12-29;0;964,2;15,5;35,6;28,9;24,5;47,5;21;7,3;1,6;
2012-12-30;0;964,5;13,9;35,7;29,4;24,4;40,6;23;7,5;2;
2012-12-31;0;964,7;15;35,5;29,1;23,9;43,8;25;10;2,1;
2013-01-01;null;964,7;16,6;32,7;28,5;24,9;49,3;35;9,6;2,1;
2013-01-02;null;964,7;16,3;30,1;27,7;25,4;51,2;34;6,9;1,6;
2013-01-03;null;965,9;17,7;33,1;26;23;62,6;36;7,5;1,2;
2013-01-04;null;967,5;20,7;32,2;25,3;22;78;41;13,9;1,1;
2013-01-05;null;967,6;18,1;33,9;26,7;22,2;64,2;29;7,8;1,4;
2013-01-06;null;966,2;19,2;33;26,3;23,4;66,4;38;9,8;1,3;
2013-01-07;null;965;18;34,1;27;23;61,5;29;8;1,3;
2013-01-08;null;964,8;16,8;35,6;28,6;23,3;51,8;26;8,1;1,7;
2013-01-09;null;965,1;16,8;35,7;29;22,7;51,4;26;8,3;1,7;
2013-01-10;null;963,9;16,9;36;29,2;24,2;50,8;26;8,3;1,9;
2013-01-11;null;962,6;15,7;35,4;29,1;24,3;47,7;23;7,8;1,7;
2013-01-12;null;962,9;15,3;35,7;28,5;21,9;47,6;25;9,7;1,7;
2013-01-13;null;963,7;15;36,1;29,2;22,7;44,2;23;11;2,6;
2013-01-14;null;964;17,4;34,6;28,4;24,2;53,5;30;10,1;2,4;
2013-01-15;null;963;17,5;34,7;28,8;23,4;53;32;6,1;1,4;
2013-01-16;null;963,7;18,8;34,6;27,1;22,3;63,4;32;10,5;1,5;
2013-01-17;null;964,3;18,8;34;28,3;24,6;58,5;36;5,2;1,1;
2013-01-18;null;965,6;20,3;30;25,6;21,3;73,8;50;6,2;1,2;
2013-01-19;null;964,8;18,8;34,2;27,2;22,6;64,8;28;7,8;1,2;
2013-01-20;null;965,2;21,3;30,5;25,7;22,2;78,2;53;6,3;1;
2013-01-21;null;965,3;21,5;33,3;26,5;21,4;76,5;43;7,9;1,1;
2013-01-22;null;966;21,4;29,7;25,6;22,1;79;54;7,1;1,1;
2013-01-23;null;965,4;19,3;32,9;27;23;67,3;29;7,7;1,2;
2013-01-24;null;965,2;17,8;33,4;26,6;21,1;62,2;29;5,8;1;
2013-01-25;null;965,8;16,7;34,1;27;21;57,5;26;6,9;1,3;
2013-01-26;null;966,2;18;33,9;26,2;20,2;64;32;4,5;,8;
2013-01-27;null;966,7;19,3;32,1;26,5;22,2;66;43;7,4;1;
2013-01-28;null;966,5;19,1;32,9;25,9;20,2;68,9;37;5,3;,9;
2013-01-29;null;966;15,7;35,1;26,5;20,1;57;20;6,2;1,3;
2013-01-30;null;965;15,9;36;27,5;20,5;53,2;22;7,2;1,1;
2013-01-31;null;964,7;18;34,4;27,2;20,5;61,9;25;8,3;1,7;
2013-02-01;null;964,5;17,6;35,2;27,3;22,4;59,1;26;6,4;1;
2013-02-02;null;965,4;18,2;34,7;27,5;22,2;59,4;31;6,5;1,2;
2013-02-03;null;964,2;16,8;34,5;28,2;21,3;52,2;30;8,5;1,6;
2013-02-04;null;962,9;17,8;33,9;28,9;23,3;52,9;32;8,3;1,6;
2013-02-05;null;963,3;18,9;33,6;28;22,9;60,1;34;8,8;1,4;
2013-02-06;null;964,1;17,5;34,3;27;21,8;58,3;30;5;1,2;
2013-02-07;null;964,4;19,4;31,6;26,1;20,8;69,4;41;9,1;1,5;
2013-02-08;null;964,2;18,5;34,4;26,9;20,7;64,2;28;7,5;1,5;
2013-02-09;null;964,6;17,3;33,5;28;23,5;53,9;30;9,1;2,1;
2013-02-10;null;964,6;16,3;33,1;27,4;22;52,7;29;8,6;2,1;
2013-02-11;null;963,8;16,3;33,1;27,8;23;50,7;34;7,7;2,1;
2013-02-12;null;963,1;16,1;34,2;28,6;23,3;48,5;28;7,8;2;
2013-02-13;null;963,6;16,4;34,3;28,4;23,2;49,8;30;7,5;2;
2013-02-14;null;964,9;19,3;33,9;27,2;21,8;63,9;34;9,6;1,2;
2013-02-15;null;965,7;21,4;30,3;24,7;22,3;82,8;58;7;1,2;
2013-02-16;null;964,6;21,5;29,6;24,3;21,1;85,3;59;5,2;1;
2013-02-17;null;965,8;20,9;28,3;23,3;20,7;87,3;60;8,7;1,2;
2013-02-18;null;965,3;20,3;31,4;25,1;21,2;77,2;45;8,4;1,4;
2013-02-19;null;964,8;21,3;30,7;25,2;22,1;80,5;52;6,5;1,1;
2013-02-20;null;964,3;20;31,3;26,1;22,6;71,4;44;7,6;1,7;
2013-02-21;null;963,9;18,3;33,1;27,2;23,2;59,2;34;9,4;1,9;
2013-02-22;null;964,4;18,5;32,8;26,2;20,7;65,5;30;4,8;1,1;
2013-02-23;null;964,6;19,3;32,3;25,9;21,6;68,5;40;4,8;1;
2013-02-24;null;964,1;19,4;34,2;27,3;22,9;63,7;36;5,6;1,1;
2013-02-25;null;964,2;21,1;34,1;26,9;22,4;72,8;38;9,6;1,4;
2013-02-26;null;964,7;19,5;34,4;26,8;22,3;67;33;6,4;1;
2013-02-27;null;965,5;18,2;35,2;27,1;21,2;62,2;28;5,3;,9;
2013-02-28;null;964,5;19;35,5;27,1;20,9;64,1;31;5,5;1,1;
2013-03-01;null;963,8;18,7;34,9;27,2;20,7;62,5;27;8,4;1,4;
2013-03-02;null;964,3;18,2;34,6;27,3;21,9;58,6;34;9,1;1,9;
2013-03-03;null;965,8;17,8;34,1;27,6;21,7;56,5;31;10,2;2;
2013-03-04;null;965,9;18,3;34,6;27,6;22,1;58,1;41;14,1;2,2;
2013-03-05;null;965,3;19,4;34,8;27,3;21,6;64,3;36;10;1,7;
2013-03-06;null;965,3;19,3;34,2;27,9;22,5;61;40;8;1,3;
2013-03-07;null;966,1;18,9;34,1;27,3;22,7;62,8;34;7,3;1,4;
2013-03-08;null;967,1;17,2;34,9;26,6;21,4;59;30;6,7;1,3;
2013-03-09;null;966,2;17,8;35,2;26,8;18,9;60,6;34;7,8;1,1;
2013-03-10;null;965,5;19,7;36,5;27,7;22;64,4;34;7,4;1,3;
2013-03-11;null;963,6;19,4;36,7;29,2;24,5;58,5;31;7;1,4;
2013-03-12;null;963,2;17,9;37,3;28,5;21,2;55,6;28;7,2;1,2;
2013-03-13;null;963,5;18,5;36;28,2;22,6;57,9;34;7,3;1,4;
2013-03-14;null;963,2;19,1;36,2;28,7;23,3;57,9;35;6,7;1,3;
2013-03-15;null;963,3;18,9;36;28,9;24,9;55,8;35;7,2;1,6;
2013-03-16;null;964,1;17,2;33,3;28,5;24,1;51;37;9,1;1,5;
2013-03-17;null;964,8;19,8;34,8;27,6;23,2;64,2;40;9,5;1,1;
2013-03-18;null;964;19,7;33,7;26,8;24,1;65,8;47;11,8;1,6;
2013-03-19;null;964,3;20,6;28,9;24,6;21;79,4;59;7,7;1,2;
2013-03-20;null;964,9;21;29,9;25,2;20,6;78,6;56;8,3;1,1;
2013-03-21;null;965,6;20,3;31,8;25,9;21,6;73,8;45;9,1;1,2;
2013-03-22;null;965,9;20,8;31,7;26;22,3;74,2;51;6,4;1;
2013-03-23;null;964,2;21,6;31,8;25,6;22,3;79,5;57;6,2;1,1;
2013-03-24;null;963,4;21,4;31,1;25,3;21;79,8;57;7,3;1,2;
2013-03-25;null;965,3;20,8;29,5;24;20,5;83;63;11,4;1,1;
2013-03-26;null;966,6;21,1;31,4;24,9;19,7;80,7;57;7,2;1,1;
2013-03-27;null;965,9;21,8;31,4;26,2;22,5;78;56;5,6;1,1;
2013-03-28;null;965,5;21,9;30,8;null;22,8;79,8;61;5,3;1;
2013-03-29;null;null;null;29,4;null;null;84;69;6,9;null;
2013-03-30;null;966,7;21,5;31,2;25,4;21,6;80,2;57;5,4;1,3;
2013-03-31;null;967,4;18,9;32,2;25,9;21;67,2;41;6,8;1,5;
2013-04-01;null;967,4;18,5;31,7;24,7;19,7;70,9;42;8,3;1,3;
2013-04-02;null;966,3;19,8;32;25,2;20,2;73,7;49;6,5;1,2;
2013-04-03;null;966,3;20,9;30,9;25,4;21,4;77,3;56;7,2;1,1;
2013-04-04;null;966,2;21,2;26,7;23,6;21,5;86,5;76;6,9;1;
2013-04-05;null;966,6;21,4;29,9;24,6;19,9;83,3;62;5,4;1;
2013-04-06;null;966,9;21,1;30,9;25,5;21,9;78,1;55;6,9;,9;
2013-04-07;null;966,4;21,1;32,1;25,7;21,5;77;54;6,4;,9;
2013-04-08;null;965,7;21,3;31,3;25,2;20,8;80,2;54;6,2;1;
2013-04-09;null;964,9;21,6;31,3;25,8;22,6;79,1;55;6,1;1,2;
2013-04-10;null;964,9;20,9;31,6;25,9;22,1;75,4;48;8,1;1,1;
2013-04-11;null;965,7;20,3;31,9;25,6;21,3;74,4;46;6,1;1,1;
2013-04-12;null;965,9;20,6;31,2;25,7;22,5;74,8;50;8,8;1,4;
2013-04-13;null;965,1;20,1;32;25,5;20;74,4;44;5,8;1,1;
2013-04-14;null;964,6;20,8;32,3;25,9;21;75,2;52;7,3;,9;
2013-04-15;null;965,4;20,5;32,1;26,2;21,5;71,9;53;5,1;1;
2013-04-16;null;965,1;20,8;31,2;25,5;22,7;76,2;55;6,5;1;
2013-04-17;null;965,1;20,9;32,3;25,7;21,5;76;52;4,2;1;
2013-04-18;null;964,5;21,3;30,9;25,5;21,6;78,5;59;6,9;1;
2013-04-19;null;964,8;21,6;31,1;25;22,5;82;60;5,7;1;
2013-04-20;null;965,4;19,7;27,8;24,6;21;75;56;7,2;1,2;
2013-04-21;null;965,7;20,9;27,4;23,7;21,8;84,3;70;6,3;1,3;
2013-04-22;null;966,3;19,3;29,3;25;20,8;71,6;56;8,5;1,9;
2013-04-23;null;966,7;18,9;30,1;25,1;21,3;69,6;49;9,4;1,8;
2013-04-24;null;966,9;19,3;31,1;25,8;22,3;68;53;8,7;1,7;
2013-04-25;null;966,6;21;30,5;25,2;21,8;78,6;57;8;1,6;
2013-04-26;null;966,7;21,5;30,6;25,1;22,2;81,3;59;8,3;1,7;
2013-04-27;null;966,1;19,8;29,6;25,1;22,1;73;59;8,2;2;
2013-04-28;null;965,5;18,6;31,1;25,4;20,9;67,1;50;6,9;1,8;
2013-04-29;null;966,2;19,1;28,5;25,2;21,8;69,2;59;8,5;2;
2013-04-30;null;966,5;20,4;30,4;25;21,6;76,5;54;6,6;1,4;
2013-05-01;null;966,7;21;29,9;24,6;21,5;80,8;62;7,2;1,4;
2013-05-02;null;966,8;20,4;29,8;24,8;21,3;77,8;60;6,5;1,6;
2013-05-03;null;966,2;20,6;29,8;25,2;22,5;75,8;64;9,9;1,9;
2013-05-04;null;965,5;20;31,3;25,1;20,6;73,8;56;9,8;2,3;
2013-05-05;null;965,9;19,7;30,8;25,5;20,8;70,6;61;6,5;1,7;
2013-05-06;null;966,8;20,7;30,7;24,9;20,4;78,3;64;4,4;,8;
2013-05-07;null;967,4;21,2;32;25,2;20,4;79,4;63;5,6;1;
2013-05-08;null;967,9;20,9;31,7;25;20,5;78,9;61;4,6;1;
2013-05-09;null;968,1;21,6;29,6;24,6;22,4;83,8;73;4,8;1;
2013-05-10;null;968,4;20,8;27,8;24,2;21,9;81,6;76;6,1;1;
2013-05-11;null;967,7;20,5;29,4;25,3;22;75,2;65;9,1;2,2;
2013-05-12;0;966,6;19,8;30,5;25,4;22,3;71,3;59;9,2;2,1;
2013-05-13;0;966,4;18,9;31,2;25,1;21,1;69,2;55;8,3;1,9;
2013-05-14;0;966,2;20,2;31,9;26;21,3;70,4;58;8,1;1,7;
2013-05-15;0;966,4;19,5;30;25,2;20,3;71,2;60;8,1;2;
2013-05-16;0;965,6;20,4;30,7;25,7;22,1;72,8;61;7,8;1,5;
2013-05-17;0;966;21;32;26,4;21,5;73,1;59;7,5;1,4;
2013-05-18;0;967,2;20,5;30,8;26,2;23,9;71,2;62;9;2,1;
2013-05-19;0;968,3;19,4;29;24,8;20,3;72,5;66;8,4;2;
2013-05-20;0;966,8;19;31,6;25;19,4;70,1;54;9,2;1,7;
2013-05-21;0;965,3;19,9;31,7;25,4;20,4;71,5;62;7,2;1,1;
2013-05-22;0;965,1;21;32;25,6;19,8;75,7;62;5,4;1,2;
2013-05-23;0;965,6;21,3;31,7;25,6;20,9;77,7;65;5,5;1;
2013-05-24;0;965,7;21,9;32,3;26,5;21,7;76,5;62;4,6;,9;
2013-05-25;2;967,6;21,3;28,5;24,8;21,6;81;71;16,5;1,4;
2013-05-26;,4;968;21,4;30;25,5;23,3;78,7;62;6,9;1,1;
2013-05-27;0;967,2;21;30,6;25,8;21,8;75;62;8,5;1,5;
2013-05-28;0;965,9;20,4;30,2;26,2;23,8;70,6;58;7,1;1,5;
2013-05-29;0;966;20,8;31,1;26,1;21,6;73;60;6,5;1,1;
2013-05-30;0;966,8;20,8;31,9;26,2;21,6;72,8;58;5,7;1;
2013-05-31;0;967,1;21;31,4;26,2;22,5;73,6;58;6,1;1;
2013-06-01;null;966,8;19,6;31,3;26,6;23,2;65,8;55;8,5;2,2;
2013-06-02;null;967,2;18,6;31,4;26;22,2;64,4;53;7,4;1,3;
2013-06-03;null;967,8;19,4;31,6;25;18,9;71,8;58;5,3;1;
2013-06-04;null;967,7;21,1;31;25,7;22,1;76,2;63;5,8;1;
2013-06-05;null;967,7;21,5;29,9;25,9;24,3;76,8;64;11,8;1,3;
2013-06-06;null;967,9;21,2;30,8;26;23,2;75,6;57;6,9;1;
2013-06-07;null;968,1;19,1;31;24,9;20,2;71,2;50;6,4;1,4;
2013-06-08;null;968,1;19,7;29,8;25,2;20,9;72,3;58;8,6;1,6;
2013-06-09;null;967,6;19,2;30,5;26;22,8;66,1;57;9;2,4;
2013-06-10;null;967,6;19,3;30,1;25,5;22,1;68,8;60;11,1;1,7;
2013-06-11;null;968,4;19,9;31;25,8;22,2;70,5;55;9;1,7;
2013-06-12;null;968,3;19,4;31,8;26,8;23,1;64,5;51;7,4;1,9;
2013-06-13;null;967,9;19,9;29,9;26,6;23,5;66,9;59;8,6;1,9;
2013-06-14;null;967;20;29,2;26;23,7;70,1;59;5,4;1,1;
2013-06-15;null;966,8;20,2;32,2;26,4;22,3;69,1;53;5,4;1,3;
2013-06-16;null;967,2;19,6;32,1;26,5;21,8;66,5;55;7;1,5;
2013-06-17;null;968;20,6;31,8;26,7;23,4;69,8;59;6,1;1,4;
2013-06-18;null;967;21,3;32,1;26,5;22,8;73,7;59;5,7;1,1;
2013-06-19;null;966,6;20,1;31,1;25,7;22,8;71,7;56;9,3;1,4;
2013-06-20;null;966,6;17,9;31,1;25,2;19,5;64,6;50;9;1,7;
2013-06-21;null;966,6;18,7;30,8;25,4;20,8;66,8;56;7,6;1,4;
2013-06-22;null;967,9;20,7;30,3;24,5;21,3;79,6;65;7,9;1,2;
2013-06-23;null;967,9;19,4;30,3;24,6;20,9;74;50;6,8;1,5;
2013-06-24;null;967,9;16,9;30,8;24,5;20;63,4;49;8,1;1,7;
2013-06-25;null;967,9;18,6;30,7;24,6;21,2;69,5;51;8,6;1,9;
2013-06-26;null;967,8;16,8;30,3;25,5;21,6;59,5;40;8,8;2;
2013-06-27;null;968,4;17,6;29,9;24,6;20,9;65,9;49;8,7;2;
2013-06-28;null;966,9;16,5;31,2;23,4;17,1;68,8;37;4,4;1,1;
2013-06-29;null;966,8;19;26,2;22,3;19,1;82;66;4,3;1,1;
2013-06-30;null;966,1;16,9;31,6;25,3;19;62,4;35;7,4;1,7;
2013-07-01;null;966,8;14,7;31,3;24,7;18,8;56,4;29;7,8;1,8;
2013-07-02;0;967,2;16,1;31,2;25,5;20,4;57,3;35;7,7;2;
2013-07-03;0;968,9;17,2;26,3;23,8;22,5;66,7;58;8,6;2;
2013-07-04;0;969,3;17,6;28,7;24,2;21,8;67;49;9,5;2,3;
2013-07-05;0;969,1;15,8;29,5;24;19,6;61,9;40;8,4;2,1;
2013-07-06;0;967,8;16,3;30,4;24,3;19,7;62,3;39;9,3;2;
2013-07-07;0;967,6;15,9;31,1;24,9;19,8;59,2;34;11,2;2,4;
2013-07-08;0;968,5;14,6;30,9;24,3;17,9;56,7;32;6,6;1,6;
2013-07-09;0;969,2;16,5;30,8;24,6;18,9;62,5;36;7,8;1,9;
2013-07-10;0;968,9;15,9;28,9;24,2;20;60,6;45;11,5;2,8;
2013-07-11;0;968,2;15,1;30;24,1;20,2;58,8;34;9,1;2,4;
2013-07-12;0;968,8;16,7;27,5;23,9;21,2;64,9;46;7,3;1,9;
2013-07-13;3,6;968,5;19,3;31,5;24,4;20,8;76,1;40;6,2;1,2;
2013-07-14;4;968,6;19;27,4;23,7;21,2;76,1;55;9,2;2;
2013-07-15;0;968,6;16,3;29,7;23,6;18,7;65,1;41;8,7;1,7;
2013-07-16;0;968,9;15,1;31,8;22,7;16,3;66,5;26;6,5;1,1;
2013-07-17;0;968,6;15,5;30;22,7;16,2;66,3;37;7,9;1,5;
2013-07-18;0;968;15,8;30,7;24,4;19;59,8;43;8,4;1,9;
2013-07-19;3;968;19,5;27,8;23,8;20,9;77,3;59;6,8;1,4;
2013-07-20;0;967,6;15,6;30,8;23,2;17;67,3;31;9,4;1,6;
2013-07-21;0;967,4;17;32,3;24,8;18,4;63,9;37;8,2;1,2;
2013-07-22;0;967,3;16,7;31,2;25,6;21,3;60,2;31;7,2;2;
2013-07-23;0;966,6;15,3;31,8;24,1;16,5;61;32;8,7;1,3;
2013-07-24;0;967,7;15,6;31,4;25;19,1;58,8;28;7,7;1,6;
2013-07-25;0;970;17,6;31,6;25,5;22,1;63,5;36;7,2;1,7;
2013-07-26;0;970,8;17,5;32,1;25;19;65,3;34;7,8;1,3;
2013-07-27;0;969,6;14,9;31,9;25,9;20,8;53,1;27;9,5;2,4;
2013-07-28;0;969,4;13,2;30,4;23,9;15,9;53,7;30;9,9;2,5;
2013-07-29;0;969,9;15,7;31,1;24,6;17,4;58,9;38;9,4;2,2;
2013-07-30;0;970,8;14,9;30,6;24,9;21,4;57,1;28;8,3;2;
2013-07-31;0;970,3;14,4;30,9;24,7;19,1;53,8;34;8,8;2,2;
2013-08-01;0;969,5;15;30,6;24,6;18,6;56,6;35;10,8;2,7;
2013-08-02;0;969,4;16,9;29,3;23,3;19,2;67,8;47;10;2,3;
2013-08-03;0;968,9;14,6;30,8;24,3;19,6;57,1;31;8,6;2,3;
2013-08-04;0;968,6;14,4;33;25,3;18,6;54,2;27;9,3;2;
2013-08-05;0;968,5;12,9;32,8;24,5;16,3;53,3;22;11,2;1,7;
2013-08-06;0;968;16,7;31,5;24,8;18,6;62,7;35;9,6;1,6;
2013-08-07;0;967,1;14,6;31,1;24,7;19,7;55,5;31;11,9;2,7;
2013-08-08;0;966,1;13,4;31,4;24,6;19,4;52,3;26;9,6;2,4;
2013-08-09;0;966,7;14,5;32,7;25,2;20,5;54,8;27;9,5;2,2;
2013-08-10;0;967;15,3;31,7;25,1;18,8;57;31;7,9;2;
2013-08-11;0;966,8;15,2;33,2;25,6;19,1;55,5;28;7,8;1,9;
2013-08-12;0;966,3;13,5;33,5;25,6;17,7;50,8;24;8;2;
2013-08-13;0;967;14,5;32,9;25,9;19,8;51,6;28;8,5;2;
2013-08-14;0;967,4;15,4;34,4;26,7;21,5;52,3;25;8,2;2,3;
2013-08-15;0;966,3;15,5;33,9;26,6;19,1;53,6;28;7,5;1,8;
2013-08-16;0;967,7;14,7;33;26,4;19,9;50,4;29;10,7;2,1;
2013-08-17;0;967,9;14,5;32,5;25,9;19,3;51,7;29;11,7;2,2;
2013-08-18;0;968,1;15,6;30,9;25,5;19,9;56,3;34;9,5;2,4;
2013-08-19;0;968,2;14,5;32,3;25,7;20,1;52,3;29;10,1;2,5;
2013-08-20;0;967,6;14,8;33,6;26,3;21,2;51,8;26;9,3;2;
2013-08-21;0;967,7;14,4;33,2;26,2;21,6;49,8;29;9,1;2,6;
2013-08-22;0;967,1;15;33,2;26,3;21,3;52;29;11,3;2,7;
2013-08-23;0;967,2;13,6;31,9;25,5;20,3;50,1;27;9,2;2,6;
2013-08-24;0;967,1;12,8;33,5;26,3;20,7;46,8;20;10,2;2,5;
2013-08-25;0;967,4;14,3;32,3;26,3;20,7;50,5;26;10,6;2,5;
2013-08-26;0;966,7;13,9;32,2;25,9;19,1;49,4;30;8,4;2,2;
2013-08-27;0;967,2;15,3;33,7;26,4;21,1;53,2;26;9,4;2;
2013-08-28;0;967,9;10,9;35,9;27;18,1;42,4;13;8,6;1,8;
2013-08-29;0;969,7;13,3;33,2;27,4;21,9;44,4;26;10,3;3;
2013-08-30;0;969,3;14,6;32;26,4;21,7;49,8;32;13;3;
2013-08-31;0;968,5;14,1;31,4;26;20,5;48,9;32;9,7;2,5;
2013-09-01;0;967,3;14,1;32,4;25,9;20,7;49,9;29;8,4;2,3;
2013-09-02;0;966,4;12,6;33,4;25,4;16,4;47,9;25;7,7;1,8;
2013-09-03;0;966,4;12,5;35,2;26,3;17,1;46,9;19;9;2,1;
2013-09-04;0;967,9;14,3;34,6;27;19,8;48,1;26;8,2;1,7;
2013-09-05;0;968;14,5;34,5;26,6;20,3;50,3;25;9;2;
2013-09-06;0;968;15,2;32,1;26,2;22;52,6;30;10,3;2,2;
2013-09-07;0;967,4;15,2;33,3;26,8;22;51,1;28;9,1;2,5;
2013-09-08;0;968,6;14,6;32,2;25,9;21,3;51,6;31;11;2,9;
2013-09-09;0;968,8;12,6;33,4;26,1;19,6;45,8;24;11,8;2,8;
2013-09-10;0;968,9;14,4;32,6;25,8;20,7;51,3;29;11,5;2,7;
2013-09-11;0;967,2;11,1;33,3;25,9;19,9;41,9;22;10,9;3;
2013-09-12;0;966;11;33,7;25,9;19,6;42,3;20;9,1;2,8;
2013-09-13;0;966,7;12,4;34,9;26,5;19,3;45;21;9,8;2,1;
2013-09-14;0;967,4;14,7;34,8;27,7;22,7;48,2;24;8;2,1;
2013-09-15;0;967,2;14,7;35,5;28,4;22,2;45,9;24;10;2,6;
2013-09-16;0;966,2;13,2;35,1;27,5;21;44,5;20;9,5;2,1;
2013-09-17;0;966,2;12,4;35,9;26,5;18,1;46,1;17;9;1,6;
2013-09-18;0;967,2;14;36,5;27,7;20,7;46,6;19;9,5;1,9;
2013-09-19;0;968;12,5;34,9;27,4;20;43,6;21;10,9;2,6;
2013-09-20;0;967,3;12,4;33,9;27;20,9;42,7;22;11;2,9;
2013-09-21;0;966,8;12,3;35;27,4;20,4;41,5;20;9,1;2,8;
2013-09-22;0;968;13,7;35,1;27,7;21,9;44,9;22;8;2,3;
2013-09-23;0;968,5;12,2;35,9;27,1;18,9;43,6;17;8,4;1,8;
2013-09-24;0;966,9;9,5;37,2;27,9;18,1;36,5;12;10,3;1,5;
2013-09-25;0;965,4;13,1;37;27,6;20,5;43,8;20;6,3;1,3;
2013-09-26;0;966,1;15,9;35,6;27,6;22;52,3;25;7,7;1,3;
2013-09-27;0;966,5;14;36,4;29,4;23,4;42,8;17;9,3;1,9;
2013-09-28;0;967,2;14;35,2;28,6;23,9;43,8;20;9,6;2;
2013-09-29;0;965,8;12,5;35,8;28;21;41,4;19;10,3;2,1;
2013-09-30;0;966;12,2;35,5;28,2;21,1;39,8;21;11,6;2,5;
2013-10-01;0;965,9;13,1;35,3;27,4;21,5;44,6;19;10,5;2;
2013-10-02;0;966,1;13,3;35,7;27,9;22,5;44,4;18;7,7;1,5;
2013-10-03;0;967,1;12;35,8;26,8;19,5;43,5;19;7,2;1,4;
